group_type,group,condition,prompt,n,prevalence,accuracy,accuracy_ci_low,accuracy_ci_high,precision,recall,specificity,f1,balanced_accuracy,tp,tn,fp,fn
cancer,Primary CNS Lymphoma,non_rag,basic,13,0.923077,0.769231,0.497436,0.918205,1.000000,0.750000,1.000000,0.857143,0.875000,9,1,0,3
cancer,Primary CNS Lymphoma,non_rag,oncology_expert,13,0.923077,0.692308,0.423693,0.873193,1.000000,0.666667,1.000000,0.800000,0.833333,8,1,0,4
cancer,Primary CNS Lymphoma,non_rag,patient_education,13,0.923077,0.769231,0.497436,0.918205,1.000000,0.750000,1.000000,0.857143,0.875000,9,1,0,3
cancer,Bronchial Tumors,rag,basic,12,1.000000,0.250000,0.088942,0.532305,1.000000,0.250000,,0.400000,,3,0,0,9
cancer,Bronchial Tumors,rag,oncology_expert,12,1.000000,0.333333,0.138120,0.609378,1.000000,0.333333,,0.500000,,4,0,0,8
cancer,Bronchial Tumors,rag,patient_education,12,1.000000,0.416667,0.193260,0.680489,1.000000,0.416667,,0.588235,,5,0,0,7
cancer,Bronchial Tumors,non_rag,basic,12,1.000000,0.333333,0.138120,0.609378,1.000000,0.333333,,0.500000,,4,0,0,8
cancer,Bronchial Tumors,non_rag,oncology_expert,12,1.000000,0.333333,0.138120,0.609378,1.000000,0.333333,,0.500000,,4,0,0,8
cancer,Bronchial Tumors,non_rag,patient_education,12,1.000000,0.333333,0.138120,0.609378,1.000000,0.333333,,0.500000,,4,0,0,8
cancer,Colorectal cancer,rag,basic,11,0.909091,0.454545,0.212713,0.719908,0.833333,0.500000,0.000000,0.625000,0.250000,5,0,1,5
cancer,Colorectal cancer,rag,oncology_expert,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Colorectal cancer,rag,patient_education,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Colorectal cancer,non_rag,basic,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Colorectal cancer,non_rag,oncology_expert,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Colorectal cancer,non_rag,patient_education,11,0.909091,0.363636,0.151665,0.646199,0.800000,0.400000,0.000000,0.533333,0.200000,4,0,1,6
cancer,Ewing Sarcoma,rag,basic,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Ewing Sarcoma,rag,oncology_expert,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Ewing Sarcoma,rag,patient_education,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Ewing Sarcoma,non_rag,basic,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Ewing Sarcoma,non_rag,oncology_expert,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Ewing Sarcoma,non_rag,patient_education,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Lung cancer,rag,basic,11,1.000000,0.363636,0.151665,0.646199,1.000000,0.363636,,0.533333,,4,0,0,7
cancer,Lung cancer,rag,oncology_expert,11,1.000000,0.454545,0.212713,0.719908,1.000000,0.454545,,0.625000,,5,0,0,6
cancer,Lung cancer,rag,patient_education,11,1.000000,0.454545,0.212713,0.719908,1.000000,0.454545,,0.625000,,5,0,0,6
cancer,Lung cancer,non_rag,basic,11,1.000000,0.454545,0.212713,0.719908,1.000000,0.454545,,0.625000,,5,0,0,6
cancer,Lung cancer,non_rag,oncology_expert,11,1.000000,0.727273,0.434355,0.902539,1.000000,0.727273,,0.842105,,8,0,0,3
cancer,Lung cancer,non_rag,patient_education,11,1.000000,0.636364,0.353801,0.848335,1.000000,0.636364,,0.777778,,7,0,0,4
cancer,Mycosis Fungoides (Lymphoma),rag,basic,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Mycosis Fungoides (Lymphoma),rag,oncology_expert,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Mycosis Fungoides (Lymphoma),rag,patient_education,11,1.000000,0.545455,0.280092,0.787287,1.000000,0.545455,,0.705882,,6,0,0,5
cancer,Mycosis Fungoides (Lymphoma),non_rag,basic,11,1.000000,0.454545,0.212713,0.719908,1.000000,0.454545,,0.625000,,5,0,0,6
cancer,Mycosis Fungoides (Lymphoma),non_rag,oncology_expert,11,1.000000,0.454545,0.212713,0.719908,1.000000,0.454545,,0.625000,,5,0,0,6
cancer,Mycosis Fungoides (Lymphoma),non_rag,patient_education,11,1.000000,0.454545,0.212713,0.719908,1.000000,0.454545,,0.625000,,5,0,0,6
cancer,Osteosarcoma,rag,basic,11,0.727273,0.636364,0.353801,0.848335,1.000000,0.500000,1.000000,0.666667,0.750000,4,3,0,4
cancer,Osteosarcoma,rag,oncology_expert,11,0.727273,0.636364,0.353801,0.848335,1.000000,0.500000,1.000000,0.666667,0.750000,4,3,0,4
cancer,Osteosarcoma,rag,patient_education,11,0.727273,0.727273,0.434355,0.902539,1.000000,0.625000,1.000000,0.769231,0.812500,5,3,0,3
cancer,Osteosarcoma,non_rag,basic,11,0.727273,0.636364,0.353801,0.848335,1.000000,0.500000,1.000000,0.666667,0.750000,4,3,0,4
cancer,Osteosarcoma,non_rag,oncology_expert,11,0.727273,0.818182,0.523019,0.948632,1.000000,0.750000,1.000000,0.857143,0.875000,6,3,0,2
cancer,Osteosarcoma,non_rag,patient_education,11,0.727273,0.727273,0.434355,0.902539,1.000000,0.625000,1.000000,0.769231,0.812500,5,3,0,3
cancer,Pituitary Tumor,rag,basic,11,0.545455,0.545455,0.280092,0.787287,0.600000,0.500000,0.600000,0.545455,0.550000,3,3,2,3
cancer,Pituitary Tumor,rag,oncology_expert,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.500000,0.400000,0.500000,0.450000,3,2,3,3
cancer,Pituitary Tumor,rag,patient_education,11,0.545455,0.545455,0.280092,0.787287,0.600000,0.500000,0.600000,0.545455,0.550000,3,3,2,3
cancer,Pituitary Tumor,non_rag,basic,11,0.545455,0.545455,0.280092,0.787287,0.600000,0.500000,0.600000,0.545455,0.550000,3,3,2,3
cancer,Pituitary Tumor,non_rag,oncology_expert,11,0.545455,0.454545,0.212713,0.719908,0.500000,0.333333,0.600000,0.400000,0.466667,2,3,2,4
cancer,Pituitary Tumor,non_rag,patient_education,11,0.545455,0.545455,0.280092,0.787287,0.600000,0.500000,0.600000,0.545455,0.550000,3,3,2,3
cancer,Rectal cancer,rag,basic,11,0.909091,0.545455,0.280092,0.787287,1.000000,0.500000,1.000000,0.666667,0.750000,5,1,0,5
cancer,Rectal cancer,rag,oncology_expert,11,0.909091,0.545455,0.280092,0.787287,1.000000,0.500000,1.000000,0.666667,0.750000,5,1,0,5
cancer,Rectal cancer,rag,patient_education,11,0.909091,0.545455,0.280092,0.787287,1.000000,0.500000,1.000000,0.666667,0.750000,5,1,0,5
cancer,Rectal cancer,non_rag,basic,11,0.909091,0.363636,0.151665,0.646199,1.000000,0.300000,1.000000,0.461538,0.650000,3,1,0,7
cancer,Rectal cancer,non_rag,oncology_expert,11,0.909091,0.363636,0.151665,0.646199,1.000000,0.300000,1.000000,0.461538,0.650000,3,1,0,7
cancer,Rectal cancer,non_rag,patient_education,11,0.909091,0.363636,0.151665,0.646199,1.000000,0.300000,1.000000,0.461538,0.650000,3,1,0,7
cancer,Acute Lymphoblastic Leukemia (ALL),rag,basic,10,0.900000,0.600000,0.312674,0.831820,0.857143,0.666667,0.000000,0.750000,0.333333,6,0,1,3
cancer,Acute Lymphoblastic Leukemia (ALL),rag,oncology_expert,10,0.900000,0.600000,0.312674,0.831820,0.857143,0.666667,0.000000,0.750000,0.333333,6,0,1,3
cancer,Acute Lymphoblastic Leukemia (ALL),rag,patient_education,10,0.900000,0.600000,0.312674,0.831820,0.857143,0.666667,0.000000,0.750000,0.333333,6,0,1,3
cancer,Acute Lymphoblastic Leukemia (ALL),non_rag,basic,10,0.900000,0.500000,0.236593,0.763407,0.833333,0.555556,0.000000,0.666667,0.277778,5,0,1,4
cancer,Acute Lymphoblastic Leukemia (ALL),non_rag,oncology_expert,10,0.900000,0.500000,0.236593,0.763407,0.833333,0.555556,0.000000,0.666667,0.277778,5,0,1,4
cancer,Acute Lymphoblastic Leukemia (ALL),non_rag,patient_education,10,0.900000,0.500000,0.236593,0.763407,0.833333,0.555556,0.000000,0.666667,0.277778,5,0,1,4
cancer,Chronic Myelogenous Leukemia (CML),rag,basic,10,1.000000,0.200000,0.056682,0.509838,1.000000,0.200000,,0.333333,,2,0,0,8
cancer,Chronic Myelogenous Leukemia (CML),rag,oncology_expert,10,1.000000,0.100000,0.017876,0.404150,1.000000,0.100000,,0.181818,,1,0,0,9
cancer,Chronic Myelogenous Leukemia (CML),rag,patient_education,10,1.000000,0.300000,0.107791,0.603222,1.000000,0.300000,,0.461538,,3,0,0,7
cancer,Chronic Myelogenous Leukemia (CML),non_rag,basic,10,1.000000,0.400000,0.168180,0.687326,1.000000,0.400000,,0.571429,,4,0,0,6
cancer,Chronic Myelogenous Leukemia (CML),non_rag,oncology_expert,10,1.000000,0.600000,0.312674,0.831820,1.000000,0.600000,,0.750000,,6,0,0,4
cancer,Chronic Myelogenous Leukemia (CML),non_rag,patient_education,10,1.000000,0.600000,0.312674,0.831820,1.000000,0.600000,,0.750000,,6,0,0,4
cancer,Ovarian Germ Cell Tumors,rag,basic,10,0.500000,0.700000,0.396778,0.892209,0.625000,1.000000,0.400000,0.769231,0.700000,5,2,3,0
cancer,Ovarian Germ Cell Tumors,rag,oncology_expert,10,0.500000,0.600000,0.312674,0.831820,0.555556,1.000000,0.200000,0.714286,0.600000,5,1,4,0
cancer,Ovarian Germ Cell Tumors,rag,patient_education,10,0.500000,0.700000,0.396778,0.892209,0.625000,1.000000,0.400000,0.769231,0.700000,5,2,3,0
cancer,Ovarian Germ Cell Tumors,non_rag,basic,10,0.500000,0.700000,0.396778,0.892209,0.625000,1.000000,0.400000,0.769231,0.700000,5,2,3,0
cancer,Ovarian Germ Cell Tumors,non_rag,oncology_expert,10,0.500000,0.900000,0.595850,0.982124,0.833333,1.000000,0.800000,0.909091,0.900000,5,4,1,0
cancer,Ovarian Germ Cell Tumors,non_rag,patient_education,10,0.500000,0.700000,0.396778,0.892209,0.625000,1.000000,0.400000,0.769231,0.700000,5,2,3,0
cancer,Penile Cancer,rag,basic,10,0.600000,0.700000,0.396778,0.892209,0.800000,0.666667,0.750000,0.727273,0.708333,4,3,1,2
cancer,Penile Cancer,rag,oncology_expert,10,0.600000,0.500000,0.236593,0.763407,0.600000,0.500000,0.500000,0.545455,0.500000,3,2,2,3
cancer,Penile Cancer,rag,patient_education,10,0.600000,0.500000,0.236593,0.763407,0.600000,0.500000,0.500000,0.545455,0.500000,3,2,2,3
cancer,Penile Cancer,non_rag,basic,10,0.600000,0.600000,0.312674,0.831820,0.750000,0.500000,0.750000,0.600000,0.625000,3,3,1,3
cancer,Penile Cancer,non_rag,oncology_expert,10,0.600000,0.600000,0.312674,0.831820,0.750000,0.500000,0.750000,0.600000,0.625000,3,3,1,3
cancer,Penile Cancer,non_rag,patient_education,10,0.600000,0.700000,0.396778,0.892209,0.800000,0.666667,0.750000,0.727273,0.708333,4,3,1,2
cancer,Primary Central Nervous System (CNS) Lymphoma,rag,basic,10,0.200000,0.700000,0.396778,0.892209,0.400000,1.000000,0.625000,0.571429,0.812500,2,5,3,0
cancer,Primary Central Nervous System (CNS) Lymphoma,rag,oncology_expert,10,0.200000,0.700000,0.396778,0.892209,0.400000,1.000000,0.625000,0.571429,0.812500,2,5,3,0
cancer,Primary Central Nervous System (CNS) Lymphoma,rag,patient_education,10,0.200000,0.700000,0.396778,0.892209,0.400000,1.000000,0.625000,0.571429,0.812500,2,5,3,0
cancer,Primary Central Nervous System (CNS) Lymphoma,non_rag,basic,10,0.200000,0.700000,0.396778,0.892209,0.333333,0.500000,0.750000,0.400000,0.625000,1,6,2,1
cancer,Primary Central Nervous System (CNS) Lymphoma,non_rag,oncology_expert,10,0.200000,0.800000,0.490162,0.943318,0.500000,1.000000,0.750000,0.666667,0.875000,2,6,2,0
cancer,Primary Central Nervous System (CNS) Lymphoma,non_rag,patient_education,10,0.200000,0.800000,0.490162,0.943318,0.500000,1.000000,0.750000,0.666667,0.875000,2,6,2,0
cancer,Retinoblastoma,rag,basic,10,0.400000,0.700000,0.396778,0.892209,1.000000,0.250000,1.000000,0.400000,0.625000,1,6,0,3
cancer,Retinoblastoma,rag,oncology_expert,10,0.400000,0.700000,0.396778,0.892209,1.000000,0.250000,1.000000,0.400000,0.625000,1,6,0,3
cancer,Retinoblastoma,rag,patient_education,10,0.400000,0.700000,0.396778,0.892209,1.000000,0.250000,1.000000,0.400000,0.625000,1,6,0,3
cancer,Retinoblastoma,non_rag,basic,10,0.400000,0.700000,0.396778,0.892209,1.000000,0.250000,1.000000,0.400000,0.625000,1,6,0,3
cancer,Retinoblastoma,non_rag,oncology_expert,10,0.400000,0.700000,0.396778,0.892209,1.000000,0.250000,1.000000,0.400000,0.625000,1,6,0,3
cancer,Retinoblastoma,non_rag,patient_education,10,0.400000,0.700000,0.396778,0.892209,1.000000,0.250000,1.000000,0.400000,0.625000,1,6,0,3
cancer,Vaginal Cancer,rag,basic,10,1.000000,0.700000,0.396778,0.892209,1.000000,0.700000,,0.823529,,7,0,0,3
cancer,Vaginal Cancer,rag,oncology_expert,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,rag,patient_education,10,1.000000,0.800000,0.490162,0.943318,1.000000,0.800000,,0.888889,,8,0,0,2
cancer,Vaginal Cancer,non_rag,basic,10,1.000000,0.700000,0.396778,0.892209,1.000000,0.700000,,0.823529,,7,0,0,3
cancer,Vaginal Cancer,non_rag,oncology_expert,10,1.000000,0.700000,0.396778,0.892209,1.000000,0.700000,,0.823529,,7,0,0,3
cancer,Vaginal Cancer,non_rag,patient_education,10,1.000000,0.700000,0.396778,0.892209,1.000000,0.700000,,0.823529,,7,0,0,3
cancer,"Astrocytomas, Childhood (Brain Cancer)",rag,basic,9,1.000000,0.444444,0.188779,0.733349,1.000000,0.444444,,0.615385,,4,0,0,5
cancer,"Astrocytomas, Childhood (Brain Cancer)",rag,oncology_expert,9,1.000000,0.444444,0.188779,0.733349,1.000000,0.444444,,0.615385,,4,0,0,5
cancer,"Astrocytomas, Childhood (Brain Cancer)",rag,patient_education,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,"Astrocytomas, Childhood (Brain Cancer)",non_rag,basic,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,"Astrocytomas, Childhood (Brain Cancer)",non_rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Astrocytomas, Childhood (Brain Cancer)",non_rag,patient_education,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,Cervical cancer,rag,basic,9,1.000000,0.333333,0.120584,0.645798,1.000000,0.333333,,0.500000,,3,0,0,6
cancer,Cervical cancer,rag,oncology_expert,9,1.000000,0.333333,0.120584,0.645798,1.000000,0.333333,,0.500000,,3,0,0,6
cancer,Cervical cancer,rag,patient_education,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,Cervical cancer,non_rag,basic,9,1.000000,0.444444,0.188779,0.733349,1.000000,0.444444,,0.615385,,4,0,0,5
cancer,Cervical cancer,non_rag,oncology_expert,9,1.000000,0.444444,0.188779,0.733349,1.000000,0.444444,,0.615385,,4,0,0,5
cancer,Cervical cancer,non_rag,patient_education,9,1.000000,0.444444,0.188779,0.733349,1.000000,0.444444,,0.615385,,4,0,0,5
cancer,Chronic Lymphocytic Leukemia (CLL),rag,basic,9,1.000000,0.444444,0.188779,0.733349,1.000000,0.444444,,0.615385,,4,0,0,5
cancer,Chronic Lymphocytic Leukemia (CLL),rag,oncology_expert,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,Chronic Lymphocytic Leukemia (CLL),rag,patient_education,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,Chronic Lymphocytic Leukemia (CLL),non_rag,basic,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,Chronic Lymphocytic Leukemia (CLL),non_rag,oncology_expert,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,Chronic Lymphocytic Leukemia (CLL),non_rag,patient_education,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,Hepatocellular (Liver) Cancer,rag,basic,9,0.555556,0.555556,0.266651,0.811221,0.666667,0.400000,0.750000,0.500000,0.575000,2,3,1,3
cancer,Hepatocellular (Liver) Cancer,rag,oncology_expert,9,0.555556,0.333333,0.120584,0.645798,0.000000,0.000000,0.750000,0.000000,0.375000,0,3,1,5
cancer,Hepatocellular (Liver) Cancer,rag,patient_education,9,0.555556,0.666667,0.354202,0.879416,0.750000,0.600000,0.750000,0.666667,0.675000,3,3,1,2
cancer,Hepatocellular (Liver) Cancer,non_rag,basic,9,0.555556,0.666667,0.354202,0.879416,1.000000,0.400000,1.000000,0.571429,0.700000,2,4,0,3
cancer,Hepatocellular (Liver) Cancer,non_rag,oncology_expert,9,0.555556,0.666667,0.354202,0.879416,1.000000,0.400000,1.000000,0.571429,0.700000,2,4,0,3
cancer,Hepatocellular (Liver) Cancer,non_rag,patient_education,9,0.555556,0.666667,0.354202,0.879416,1.000000,0.400000,1.000000,0.571429,0.700000,2,4,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",rag,basic,9,1.000000,0.555556,0.266651,0.811221,1.000000,0.555556,,0.714286,,5,0,0,4
cancer,"Myelogenous Leukemia, Chronic (CML)",rag,oncology_expert,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",rag,patient_education,9,1.000000,0.666667,0.354202,0.879416,1.000000,0.666667,,0.800000,,6,0,0,3
cancer,"Myelogenous Leukemia, Chronic (CML)",non_rag,basic,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
cancer,"Myelogenous Leukemia, Chronic (CML)",non_rag,oncology_expert,9,1.000000,0.888889,0.565000,0.980109,1.000000,0.888889,,0.941176,,8,0,0,1
